Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
14.01.2016,00:00,29225.99,14/01/2016 00:00,0,0,0
14.01.2016,01:00,27650.42,14/01/2016 01:00,0,0,0
14.01.2016,02:00,26656.23,14/01/2016 02:00,0,0,0
14.01.2016,03:00,26235.1,14/01/2016 03:00,0,0,0
14.01.2016,04:00,26136.04,14/01/2016 04:00,0,0,0
14.01.2016,05:00,26689.3,14/01/2016 05:00,0,0,0
14.01.2016,06:00,27652.89,14/01/2016 06:00,0,0,0
14.01.2016,07:00,29176.95,14/01/2016 07:00,0,0,0
14.01.2016,08:00,33352.18,14/01/2016 08:00,0,0,0
14.01.2016,09:00,35814.77,14/01/2016 09:00,0,0,0
14.01.2016,10:00,36809.99,14/01/2016 10:00,0,0,0
14.01.2016,11:00,37010.75,14/01/2016 11:00,0,0,0
14.01.2016,12:00,35461.46,14/01/2016 12:00,0,0,0
14.01.2016,13:00,35859.72,14/01/2016 13:00,0,0,0
14.01.2016,14:00,36279.45,14/01/2016 14:00,0,0,0
14.01.2016,15:00,35936.67,14/01/2016 15:00,0,0,0
14.01.2016,16:00,36827.63,14/01/2016 16:00,0,0,0
14.01.2016,17:00,37481.89,14/01/2016 17:00,0,0,0
14.01.2016,18:00,36195.39,14/01/2016 18:00,0,0,0
14.01.2016,19:00,34914.82,14/01/2016 19:00,0,0,0
14.01.2016,20:00,34091.81,14/01/2016 20:00,0,0,0
14.01.2016,21:00,33323.9,14/01/2016 21:00,0,0,0
14.01.2016,22:00,33345.01,14/01/2016 22:00,0,0,0
14.01.2016,23:00,31938.6,14/01/2016 23:00,0,0,0
15.01.2016,00:00,29667.03,15/01/2016 00:00,0,0,0
15.01.2016,01:00,27961.7,15/01/2016 01:00,0,0,0
15.01.2016,02:00,26760.14,15/01/2016 02:00,0,0,0
15.01.2016,03:00,26351.43,15/01/2016 03:00,0,0,0
15.01.2016,04:00,26190,15/01/2016 04:00,0,0,0
15.01.2016,05:00,26646.35,15/01/2016 05:00,0,0,0
