Datetime,Data,Remainder,Seasonal168,Seasonal24,Seasonal8736,Trend
2018-06-04 13:00:00,34381.67562,-741.090499,1121.966344,1494.4490449999998,-1142.748072,33649.09881
2018-06-04 14:00:00,35599.76562,-743.9706318,1209.441941,2740.106994,-1254.8427789999998,33649.0301
2018-06-04 15:00:00,35796.90562,-720.6211051,1251.789566,2911.0244940000002,-1294.248725,33648.96139
2018-06-04 16:00:00,36143.33562,-597.9539593999999,1350.1473330000001,3027.7939079999996,-1285.544345,33648.89269
2018-06-04 17:00:00,35709.715619999995,-606.9998102999999,1141.9924740000001,2841.913073,-1316.014095,33648.82398
2018-06-04 18:00:00,35155.33562,-591.5599712999999,605.2477355000001,2598.759659,-1105.867075,33648.75528
2018-06-04 19:00:00,35271.72562,-453.046012,351.4299523,2696.608823,-971.9537088,33648.68657
2018-06-04 20:00:00,34397.84562,-476.26915880000007,285.7124591,2101.237588,-1161.4531279999999,33648.617860000006
2018-06-04 21:00:00,35489.73562,-219.60408819999998,311.334497,2771.2671379999997,-1021.8110800000001,33648.54916
2018-06-04 22:00:00,35150.70562,-437.5679254,332.2796088,2503.021856,-895.5083662000001,33648.48045
2018-06-04 23:00:00,34302.47562,-101.53716059999999,275.555872,1317.040213,-836.9950455000001,33648.41175
2018-06-05 00:00:00,32673.85562,-971.0132041000002,136.1616309,-193.3494245,53.71358254,33648.34304
2018-06-05 01:00:00,31477.94562,-863.0122669,75.2803247,-1232.478663,-150.1181043,33648.27433
2018-06-05 02:00:00,30407.57562,-814.6647728999999,24.87629994,-2199.352375,-251.48915519999997,33648.205630000004
2018-06-05 03:00:00,29589.16562,-679.0037971,86.65506893,-3271.229721,-195.3928479,33648.13692
2018-06-05 04:00:00,28726.98562,-656.2215431,119.41059009999998,-4166.691229999999,-217.58040840000004,33648.068210000005
2018-06-05 05:00:00,27158.585619999998,-839.3859659,215.27755930000004,-5714.091206,-151.2142719,33647.99951
2018-06-05 06:00:00,26712.46562,-912.0465324999999,382.0883209,-6274.872993,-130.6339742,33647.9308
2018-06-05 07:00:00,27800.14562,-746.9433343999999,680.1945192000001,-5386.296987,-394.67067010000005,33647.8621
2018-06-05 08:00:00,31410.84562,-576.5116351,1480.4254529999998,-2028.287957,-1112.5736279999999,33647.79339
2018-06-05 09:00:00,33521.83562,-214.3932129,1606.1832960000002,-3.547208988,-1514.131934,33647.72468
2018-06-05 10:00:00,34083.36562,-136.3882791,1430.122498,751.2426132999999,-1609.267187,33647.65598
2018-06-05 11:00:00,35071.965619999995,154.7666716,1404.352973,1615.666657,-1750.40795,33647.587269999996
